                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                  1.484,                 0.9175,                 1.3132,                0.79673,                0.75182,                0.82613,                0.40252,                 1.7232,                0.97247,                 1.4809,              0.0014406,              0.0014406,              0.0014406
                    116,                 1.4365,                0.88024,                 1.2834,                0.68041,                0.69414,                0.69613,                0.26406,                 2.0747,                 1.2629,                 1.7724,              0.0014357,              0.0014357,              0.0014357
                    117,                 1.4289,                0.88466,                 1.2771,                0.77648,                0.83677,                0.85739,                0.40831,                 1.7484,                0.92692,                 1.5044,              0.0014307,              0.0014307,              0.0014307
                    118,                 1.4245,                0.87889,                  1.264,                0.77405,                0.78832,                0.83839,                0.41325,                 1.6905,                0.97521,                 1.4565,              0.0014258,              0.0014258,              0.0014258
                    119,                 1.4487,                 0.8623,                  1.284,                0.78454,                0.74422,                0.78998,                0.36485,                 1.7871,                0.99342,                 1.5509,              0.0014208,              0.0014208,              0.0014208
                    120,                 1.4356,                0.87539,                 1.2963,                0.74422,                0.76399,                 0.8015,                0.39122,                 1.7843,                0.98837,                  1.546,              0.0014159,              0.0014159,              0.0014159
                    121,                 1.4574,                0.87827,                 1.2925,                0.83184,                0.83047,                0.88479,                0.45199,                 1.6317,                 0.8375,                 1.4234,               0.001411,               0.001411,               0.001411
                    122,                 1.4398,                 0.8589,                 1.2846,                0.78303,                0.77616,                0.84343,                0.41165,                 1.6752,                0.95898,                 1.4516,               0.001406,               0.001406,               0.001406
                    123,                 1.4419,                0.84819,                 1.2927,                0.81134,                0.82482,                0.84636,                0.41346,                 1.7076,                0.90432,                 1.4712,              0.0014011,              0.0014011,              0.0014011
                    124,                 1.4319,                0.85005,                 1.2842,                0.76719,                0.77129,                0.82825,                 0.3916,                 1.8113,                0.95758,                 1.5397,              0.0013961,              0.0013961,              0.0013961
                    125,                 1.4516,                0.84673,                 1.2942,                0.86011,                0.85273,                0.91316,                 0.4775,                 1.6254,                0.80315,                 1.4115,              0.0013912,              0.0013912,              0.0013912
                    126,                 1.4601,                0.84113,                  1.291,                0.83538,                0.86618,                0.89454,                 0.4559,                 1.7158,                 0.8139,                 1.4742,              0.0013862,              0.0013862,              0.0013862
                    127,                   1.42,                0.81608,                  1.266,                0.78329,                0.80907,                0.83525,                0.37419,                 1.8348,                 0.9419,                 1.5785,              0.0013813,              0.0013813,              0.0013813
                    128,                 1.4092,                0.80479,                 1.2729,                0.81192,                0.82968,                0.87012,                0.44322,                 1.7143,                0.85491,                  1.492,              0.0013763,              0.0013763,              0.0013763
                    129,                  1.435,                0.82579,                 1.2896,                 0.8644,                0.83212,                0.90485,                0.47721,                  1.644,                 0.8391,                  1.419,              0.0013714,              0.0013714,              0.0013714
                    130,                  1.432,                0.81482,                 1.3001,                0.77511,                0.79669,                0.81621,                 0.3945,                 1.7715,                 0.9041,                 1.5368,              0.0013664,              0.0013664,              0.0013664
